time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Vehicle acceleration (g)","Vehicle speed (km/h)",
19:55:36.557,24.59359751589512,20.58421413899361,17.179700798069906,20.58421413899361,20.977444372968925,32.01356146653061,27.546492507539586,1.1085155134490001,12.481313014777774,32.057464,316.261782,32.057464,1140,1.1,,0.5075025321818396,1.557381,18.409039,1.557381,58.36279120091155,179.098815,1882.4273188200002,179.098815,4.336732066039147,-0.03456631148296943,30,
19:55:36.851,24.59359751589512,20.58421413899361,17.179700798069906,20.58421413899361,20.977444372968925,32.01135564338706,24.356898638245536,1.1085155134490001,12.485946475777773,32.062097,316.266415,32.062097,1140,1.1,,0.5075025321818396,1.557381,18.409039,1.557381,58.36279120091155,179.098815,1882.4273188200002,179.098815,4.336732066039147,-0.04661091633423849,27,
19:55:37.153,24.593889091025854,20.58478340843998,17.179782620894166,20.58478340843998,20.977444372968925,32.01135564338706,24.356898638245536,1.1036536033022937,12.485946475777773,32.062097,316.266415,32.062097,1135,1.1,,0.5076849143120602,1.557563,18.409221000000002,1.557563,58.383765145886926,179.119745,1882.4482488200001,179.119745,4.317711311363536,-0.04661091633423849,27,
19:55:37.478,24.593889091025854,20.58478340843998,17.179782620894166,20.58478340843998,20.977444372968925,32.009565184678486,25.37027914938155,1.1036536033022937,12.490823360222217,32.066974,316.271292,32.066974,1135,1.1,,0.5076849143120602,1.557563,18.409221000000002,1.557563,58.383765145886926,179.119745,1882.4482488200001,179.119745,4.317711311363536,-0.04661091633423849,28,
19:55:37.796,24.594150877263036,20.5853638182103,17.17986743086988,20.5853638182103,20.977444372968925,32.009565184678486,25.37027914938155,1.0803164345981044,12.490823360222217,32.066974,316.271292,32.066974,1111,1.1,,0.5078778048714753,1.557756,18.409414,1.557756,58.40594756021966,179.14193999999998,1882.4704438200001,179.14193999999998,4.226411688920608,-0.04661091633423849,28,
19:55:38.091,24.594150877263036,20.5853638182103,17.17986743086988,20.5853638182103,20.977444372968925,32.00781137806233,25.91833198429168,1.0803164345981044,12.49560463555555,32.071755,316.276073,32.071755,1111,1.1,,0.5078778048714753,1.557756,18.409414,1.557756,58.40594756021966,179.14193999999998,1882.4704438200001,179.14193999999998,4.226411688920608,-0.04661091633423849,28,
19:55:38.409,24.59010329104659,20.584759382657893,17.179867702295073,20.584759382657893,20.977444372968925,32.00781137806233,25.91833198429168,1.6326294272639221,12.49560463555555,32.071755,316.276073,32.071755,1679,1.7,,0.5081558417082891,1.558034,18.409692,1.558034,58.437921796453246,179.17390999999998,1882.5024138200001,179.17390999999998,6.387169420069937,-0.04661091633423849,28,
19:55:38.691,24.59010329104659,20.584759382657893,17.179867702295073,20.584759382657893,20.977444372968925,32.005678305546475,16.537739397021983,1.6326294272639221,12.50009630455555,32.076247,316.280565,32.076247,1679,1.7,,0.5081558417082891,1.558034,18.409692,1.558034,58.437921796453246,179.17390999999998,1882.5024138200001,179.17390999999998,6.387169420069937,-0.04661091633423849,27,
19:55:39.014,24.586778886618465,20.584326358785464,17.179877471646705,20.584326358785464,20.977444372968925,32.005678305546475,16.537739397021983,1.4955235611268087,12.50009630455555,32.076247,316.280565,32.076247,1538,1.5,,0.5084072363524943,1.558285,18.409943000000002,1.558285,58.46683218053684,179.202775,1882.5312788200001,179.202775,5.850784138217725,-0.04661091633423849,27,
19:55:39.317,24.586778886618465,20.584326358785464,17.179877471646705,20.584326358785464,20.977444372968925,32.00390053878223,18.722540204517593,1.4955235611268087,12.504951825777772,32.081103,316.285421,32.081103,1538,1.5,,0.5084072363524943,1.558285,18.409943000000002,1.558285,58.46683218053684,179.202775,1882.5312788200001,179.202775,5.850784138217725,-0.04661091633423849,28,
19:55:39.643,24.5834168670965,20.583915711506577,17.1798920816221,20.583915711506577,20.977444372968925,32.00390053878223,18.722540204517593,1.5305293141830931,12.504951825777772,32.081103,316.285421,32.081103,1574,1.6,,0.5086742780054686,1.558552,18.41021,1.558552,58.49754197062889,179.23348,1882.56198382,179.23348,5.987733571882121,-0.04661091633423849,28,
19:55:39.933,24.5834168670965,20.583915711506577,17.1798920816221,20.583915711506577,20.977444372968925,32.002145140690395,18.294324545456195,1.5305293141830931,12.509750485222217,32.085902,316.29022,32.085902,1574,1.6,,0.5086742780054686,1.558552,18.41021,1.558552,58.49754197062889,179.23348,1882.56198382,179.23348,5.987733571882121,-0.04661091633423849,28,
19:55:40.247,24.579929723755484,20.583468638757928,17.179903595110545,20.583468638757928,20.977444372968925,32.002145140690395,18.294324545456195,1.5908170000022497,12.509750485222217,32.085902,316.29022,32.085902,1636,1.6,,0.5089416701273991,1.558819,18.410477,1.558819,58.5282920646509,179.264185,1882.5926888200001,179.264185,6.223590929859692,-0.04661091633423849,28,
19:55:40.545,24.579929723755484,20.583468638757928,17.179903595110545,20.583468638757928,20.977444372968925,32.0004004155652,17.601018847523257,1.5908170000022497,12.514524141444438,32.090676,316.294994,32.090676,1636,1.6,,0.5089416701273991,1.558819,18.410477,1.558819,58.5282920646509,179.264185,1882.5926888200001,179.264185,6.223590929859692,-0.04661091633423849,28,
19:55:40.886,24.575114262781092,20.582649237098277,17.179888555454845,20.582649237098277,20.977444372968925,32.0004004155652,17.601018847523257,1.6588837420561355,12.514524141444438,32.090676,316.294994,32.090676,1706,1.7,,0.5092356441409361,1.559113,18.410771,1.559113,58.56209907620766,179.297995,1882.62649882,179.297995,6.489881495318235,-0.04661091633423849,28,
19:55:41.182,24.575114262781092,20.582649237098277,17.179888555454845,20.582649237098277,20.977444372968925,31.99950038227575,18.084449946333137,1.6588837420561355,12.519805154777771,32.095957,316.300275,32.095957,1706,1.7,,0.5092356441409361,1.559113,18.410771,1.559113,58.56209907620766,179.297995,1882.62649882,179.297995,6.489881495318235,0.034111966753933576,30,
19:55:41.487,24.571762679858377,20.582287255907254,17.179910385363577,20.582287255907254,20.977444372968925,31.99950038227575,18.084449946333137,1.7016685513471492,12.519805154777771,32.095957,316.300275,32.095957,1750,1.8,,0.509520025807523,1.559397,18.411055,1.559397,58.59480296786514,179.33065499999998,1882.6591588200001,179.33065499999998,6.6572641364636045,0.034111966753933576,30,
19:55:41.807,24.571762679858377,20.582287255907254,17.179910385363577,20.582287255907254,20.977444372968925,31.999053082294353,18.217413711652853,1.7016685513471492,12.52523548677777,32.101387,316.305705,32.101387,1750,1.8,,0.509520025807523,1.559397,18.411055,1.559397,58.59480296786514,179.33065499999998,1882.6591588200001,179.33065499999998,6.6572641364636045,0.034119365603694794,31,
